X,Y,AP001,AP002,AP003,AP004,AP005,AP006,AP007,AP008,AP010,AP011,AP014,AP017,AP019,AP021,AP023,AP024,AP029,AP030
19,8,-87.2,-86.3,-51.714285714285715,-87.2,-90.59437713816499,-50.142857142857146,-51.666666666666664,-44.23809523809524,-90.19483793398439,-90.39559254121743,-90.41117196344197,-91.0,-93.0,-68.14285714285714,-79.0,-93.0,-71.52380952380952,-79.33333333333333
19,9,-65.38461538461539,-63.96153846153846,-49.92307692307692,-68.46153846153847,-91.0,-49.76923076923077,-48.76923076923077,-68.6,-86.0,-92.4,-77.6923076923077,-78.76923076923077,-79.23076923076923,-72.16666666666667,-72.66666666666667,-77.38461538461539,-56.111111111111114,-71.33333333333333
19,10,-73.59375,-72.53125,-46.5,-71.5625,-87.0,-49.6875,-45.5,-69.2,-82.0,-85.32001538665331,-83.9375,-80.1875,-80.9375,-77.3125,-72.21428571428571,-79.8125,-62.333333333333336,-74.14285714285714
19,11,-67.61538461538461,-67.76923076923077,-52.61538461538461,-65.38461538461539,-86.07960974930454,-52.84615384615385,-50.92307692307692,-74.23076923076923,-94.0,-87.86494801389121,-82.23076923076923,-75.61538461538461,-76.23076923076923,-76.15384615384616,-78.63636363636364,-76.76923076923077,-51.44444444444444,-79.72727272727273
19,12,-65.3076923076923,-65.3076923076923,-53.0,-70.38461538461539,-86.34012629522618,-53.07692307692308,-53.53846153846154,-77.3076923076923,-94.0,-87.96553336132442,-84.07692307692308,-80.66666666666667,-75.16666666666667,-78.46153846153847,-80.07692307692308,-83.0,-54.55555555555556,-79.76923076923077
19,13,-80.15384615384616,-79.1923076923077,-39.607142857142854,-68.92857142857143,-89.5,-45.642857142857146,-39.07142857142857,-65.21428571428571,-88.0,-88.5,-90.66666666666667,-82.41666666666667,-82.08333333333333,-71.85714285714286,-80.14285714285714,-87.16666666666667,-72.14285714285714,-80.25
19,14,-77.1,-78.2,-43.92307692307692,-62.88461538461539,-83.2,-42.84615384615385,-41.23076923076923,-64.92307692307692,-86.33333333333333,-88.0,-90.0,-89.4,-89.8,-77.23076923076923,-79.53846153846153,-89.4,-71.61538461538461,-81.92307692307692
19,15,-82.3529411764706,-78.55882352941177,-51.294117647058826,-73.0,-88.375,-48.23529411764706,-46.529411764705884,-74.23529411764706,-89.125,-89.25,-92.0,-85.57142857142857,-83.71428571428571,-82.76470588235294,-79.41176470588235,-85.85714285714286,-83.86666666666666,-79.3529411764706
19,16,-78.9090909090909,-75.72727272727273,-45.90909090909091,-70.9090909090909,-87.63636363636364,-57.72727272727273,-59.22222222222222,-72.5,-88.5,-86.55555555555556,-93.85714285714286,-89.55555555555556,-90.33333333333333,-85.44444444444444,-75.9090909090909,-89.88888888888889,-85.71428571428571,-77.54545454545455
19,17,-78.71428571428571,-76.375,-47.75,-71.28571428571429,-82.61538461538461,-48.357142857142854,-47.714285714285715,-76.71428571428571,-84.6923076923077,-89.85714285714286,-90.2,-92.66666666666667,-90.0,-83.92857142857143,-83.33333333333333,-93.0,-80.08333333333333,-83.64285714285714
19,18,-78.0,-76.77777777777777,-47.27272727272727,-62.72727272727273,-83.33333333333333,-50.81818181818182,-47.45454545454545,-72.54545454545455,-85.5,-86.0,-88.0,-89.0,-86.36363636363636,-77.8,-75.55555555555556,-86.4,-79.81818181818181,-75.44444444444444
19,19,-81.0909090909091,-80.22222222222223,-58.72727272727273,-78.27272727272727,-84.0,-52.09090909090909,-51.0,-74.6,-83.25,-86.71129273059837,-85.55555555555556,-94.0,-97.0,-85.11111111111111,-83.6,-91.0,-79.94352504839408,-82.4
20,1,-84.85,-82.0625,-55.958333333333336,-80.875,-82.0,-56.0,-57.333333333333336,-52.333333333333336,-90.0,-90.3564079442053,-87.22222222222223,-79.66666666666667,-82.14285714285714,-52.18181818181818,-85.5,-80.0,-56.083333333333336,-83.0
20,2,-86.1,-82.33333333333333,-60.375,-84.125,-88.72181028725174,-57.916666666666664,-59.916666666666664,-59.5,-90.8934902334145,-90.4872957753522,-88.0,-85.77777777777777,-85.33333333333333,-48.0,-82.16666666666667,-84.0,-59.5,-81.91666666666667
20,3,-81.94736842105263,-80.76470588235294,-53.61904761904762,-80.0952380952381,-89.6714290804979,-52.904761904761905,-52.61904761904762,-46.523809523809526,-91.32427425142824,-91.24444847376057,-89.65108371196372,-86.33333333333333,-91.0,-42.95238095238095,-78.94117647058823,-83.0,-58.095238095238095,-81.0
20,4,-84.1,-81.55,-51.7,-83.2,-87.28571428571429,-53.7,-53.0,-40.1,-87.14285714285714,-87.85714285714286,-85.75,-85.5,-85.3,-45.8,-81.33333333333333,-83.55555555555556,-61.0,-79.9
20,5,-85.0,-83.1,-48.8,-85.3,-90.81838580366029,-48.7,-49.2,-43.8,-87.0,-90.12831344700056,-87.25,-85.0,-84.0,-49.2,-79.66666666666667,-85.0,-68.2,-80.0
20,6,-85.57142857142857,-84.75,-56.65,-82.15,-89.78459757552628,-57.3,-55.6,-42.1,-91.39750621837366,-90.98953417252473,-88.42857142857143,-89.91220431021753,-90.58496038851557,-45.5,-78.1,-91.0,-54.4,-78.75
20,7,-83.125,-82.875,-46.5,-79.8,-87.0,-46.0,-45.6,-42.5,-89.0,-86.57142857142857,-85.88888888888889,-80.14285714285714,-81.0,-47.1,-77.66666666666667,-80.14285714285714,-58.9,-76.88888888888889
20,8,-79.66666666666667,-79.33333333333333,-40.55,-76.5,-86.0,-43.9,-42.8,-48.5,-87.0,-88.11879180524265,-95.0,-85.11111111111111,-83.33333333333333,-59.9,-80.33333333333333,-84.0,-67.5,-81.42857142857143
20,9,-63.76923076923077,-64.11538461538461,-52.84615384615385,-63.84615384615385,-80.0,-52.84615384615385,-52.23076923076923,-73.53846153846153,-79.0,-79.0,-89.33333333333333,-78.0,-79.92307692307692,-79.57142857142857,-76.71428571428571,-80.07692307692308,-64.0,-73.0
20,10,-66.07692307692308,-65.5,-50.92307692307692,-65.0,-84.0,-50.15384615384615,-49.30769230769231,-77.2,-86.0,-85.4,-80.23076923076923,-82.5,-81.84615384615384,-81.5,-77.5,-81.16666666666667,-58.44444444444444,-79.0
20,11,-66.03571428571429,-66.32142857142857,-48.142857142857146,-65.71428571428571,-82.0,-50.142857142857146,-47.785714285714285,-73.45454545454545,-86.8,-85.0,-78.92857142857143,-81.0,-80.21428571428571,-79.92307692307692,-76.92857142857143,-80.6923076923077,-56.6,-76.42857142857143
20,12,-68.22727272727273,-63.19230769230769,-55.34615384615385,-64.0,-85.38683248668923,-55.61538461538461,-54.23076923076923,-72.0,-94.0,-87.2,-77.61538461538461,-83.57142857142857,-79.84615384615384,-77.61538461538461,-79.0,-90.2,-60.333333333333336,-79.0
20,13,-82.15,-81.05,-49.94117647058823,-81.27272727272727,-83.5,-49.05882352941177,-50.94117647058823,-63.8,-86.0,-85.0,-90.9090909090909,-87.81818181818181,-89.22222222222223,-75.94117647058823,-83.6470588235294,-88.27272727272727,-74.40976247456109,-85.11764705882354
20,14,-74.35714285714286,-73.91666666666667,-45.357142857142854,-74.92857142857143,-92.2,-44.57142857142857,-44.214285714285715,-74.72727272727273,-90.5,-88.2,-91.0,-82.875,-83.25,-78.41666666666667,-86.42857142857143,-83.57142857142857,-78.49923728842998,-83.21428571428571
20,15,-74.42857142857143,-76.14285714285714,-45.07142857142857,-71.42857142857143,-87.71428571428571,-45.42857142857143,-44.357142857142854,-76.61538461538461,-87.0,-85.66666666666667,-90.5,-82.21428571428571,-81.64285714285714,-83.5,-83.66666666666667,-81.07142857142857,-78.66278269125304,-81.5
20,16,-79.21428571428571,-78.35714285714286,-49.214285714285715,-67.17857142857143,-92.0,-47.285714285714285,-46.142857142857146,-78.0,-91.0,-91.0,-88.0909090909091,-89.875,-88.75,-89.0,-83.07142857142857,-88.875,-81.04892143689756,-82.25
20,17,-78.125,-77.91666666666667,-55.92857142857143,-69.67857142857143,-88.0,-56.142857142857146,-54.57142857142857,-81.53846153846153,-86.0,-85.6,-89.21428571428571,-86.66666666666667,-88.0,-87.85714285714286,-85.42857142857143,-86.91666666666667,-79.02455926821615,-87.28571428571429
20,18,-72.96428571428571,-72.25,-52.42857142857143,-69.92857142857143,-79.14285714285714,-51.857142857142854,-52.142857142857146,-75.45454545454545,-79.28571428571429,-84.66666666666667,-86.85714285714286,-83.07142857142857,-83.71428571428571,-79.64285714285714,-84.33333333333333,-83.14285714285714,-74.07142857142857,-84.75
20,19,-80.63636363636364,-74.31818181818181,-59.535714285714285,-67.39285714285714,-78.53846153846153,-55.42857142857143,-58.92857142857143,-80.0,-79.3076923076923,-80.0,-87.21428571428571,-83.07142857142857,-85.5,-82.72727272727273,-84.92307692307692,-83.78571428571429,-74.42857142857143,-86.0
21,1,-85.625,-85.59375,-59.125,-84.125,-90.37483144015235,-61.75,-58.9375,-52.9375,-90.91445847805018,-90.37894331792803,-86.57142857142857,-94.6,-90.1280212955533,-51.875,-85.92857142857143,-88.5,-62.8125,-85.35714285714286
21,2,-82.26666666666667,-81.53333333333333,-56.3125,-85.59375,-86.0,-55.375,-55.785714285714285,-52.0625,-92.12221759890481,-91.49376573366513,-87.57142857142857,-89.0,-88.84615384615384,-48.375,-84.92307692307692,-87.11111111111111,-61.0625,-86.07692307692308
